Smiles,IC50_uM,pIC50
Cc1c(Cc2c(Cl)cccc2Cl)nc(N(C)Cc2ccc([N+](=O)[O-])cc2)[nH]c1=O,0.00785,8.105130343
Cc1[nH]c(=O)c(Br)c(Oc2cc(Cl)cc(C#N)c2)c1Cc1ccccc1,0.008,8.096910013
Cc1cc(C#N)cc(Cl)c1Oc1ccnc(NC2CCN(c3cccc(C(N)=O)c3)CC2)n1,0.008,8.096910013
CCc1c(C)[nH]c(=O)c(N(C)CC)c1Cc1cc(C)cc(C)c1,0.008,8.096910013
N#Cc1cc(Cl)cc(Oc2c(F)c(CCc3cccc(Cl)c3)[nH]c(=O)c2Br)c1,0.008,8.096910013
NS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)ccc32)c(Cl)c1,0.008,8.096910013
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1ccco1)c1ccc([N+](=O)[O-])cc1,0.008,8.096910013
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1cccs1)c1ccc(Cl)cc1,0.008,8.096910013
Cc1cc(/C=C/C#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1C(=O)NCCCl,0.0085,8.070581074
Cc1cc(-c2cccc(Cc3cc(=O)n(O)c(=O)[nH]3)c2)ccc1F,0.0088,8.055517328
Cc1cc(NC(=O)CCN2CCOCC2)ccc1NC(=O)COc1ccc(Cl)cc1C(=O)c1cc(F)cc(F)c1,0.008913,8.049976093
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2F)nc2ccsc12,0.00894,8.048662481
C#C[C@]1(CO)O[C@@H](n2cc(F)c(N)nc2=O)C[C@@H]1O,0.009,8.045757491
Cc1ccc(CNc2ccnc(Nc3ccc(C#N)cc3)n2)cc1C,0.009,8.045757491
Cc1cnc(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccccc2)[nH]1,0.009,8.045757491
COc1cc(C#N)cc(Oc2c(Cl)ccc(Cc3cc(C)c(=O)[nH]n3)c2F)c1,0.009,8.045757491
N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4cnccc34)c2F)c1,0.009,8.045757491
O=c1cc(Cc2ccc(-c3ccc(Cl)cc3Cl)cc2)[nH]c(=O)n1O,0.0092,8.036212173
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1N,0.0093,8.031517051
O=c1cc(Cc2ccc(-c3ccc(Cl)c(F)c3)cc2)[nH]c(=O)n1O,0.0094,8.026872146
Cc1cc(C#N)ccc1-c1ccnc(NCc2n[nH]c3nc(F)ccc23)c1,0.01,8
Cc1cc(C)c(S(=O)(=O)n2c(=O)[nH]c3ccc(Cl)cc32)c(C)c1,0.01,8
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCc3cccc(Cl)c3)[nH]c3ccc(Cl)cc23)c1,0.01,8
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCN3CCCCC3)[nH]c3ccc([N+](=O)[O-])cc23)c1,0.01,8
Cc1nc(CCCCCCC(=O)c2ccccc2)n2nc(-n3ccnc3)ccc12,0.01,8
Cc1nc(CCCCCCC(=O)c2ccccc2)n2nc(-n3cncc3C)ccc12,0.01,8
CCc1c(C)[nH]c(=O)c(N(C)CCCCCO)c1Cc1cccc(C)c1,0.01,8
CCc1c(C)[nH]c(=O)c(NC)c1Cc1cc(C)cc(C)c1,0.01,8
N#Cc1cc2c(Oc3ccc(F)cc3OCCn3ccc(=O)[nH]c3=O)cc(F)cn2c1,0.01,8
N#Cc1ccc(Nc2cc(Cc3c(Cl)cccc3Cl)nc(N)n2)cc1,0.01,8
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1cccs1)c1ccc([N+](=O)[O-])cc1,0.01,8
O=C1c2ccccc2C(=O)N1CCOC(=S)N(C(=O)c1cccs1)c1ccc(I)cc1,0.01,8
Cc1cc(C)c(-n2nnnc2SCC(=O)Nc2ccc(S(N)(=O)=O)cc2Cl)c(C)c1,0.01037,7.984221244
Cc1cc(C#N)ccc1-c1ccnc(NCc2n[nH]c(-c3ccccc3)c2Cl)c1,0.011,7.958607315
